Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
323.76001,329.85,320.29998,325.20999,325.20999,31287100,2019,7,18
323.39999,325.85,314.23001,315.1,315.1,16302500,2019,7,19
312.0,314.54,305.80999,310.61999,310.61999,17718000,2019,7,22
311.44,313.5,306.0,307.29998,307.29998,9171100,2019,7,23
310.51001,319.98999,307.25,317.94,317.94,11961800,2019,7,24
318.85998,327.69,316.29998,326.45999,326.45999,10798500,2019,7,25
328.79,336.0,327.5,335.77999,335.77999,10847500,2019,7,26
335.98001,336.39999,328.76998,332.70001,332.70001,5782800,2019,7,29
329.20001,329.64999,323.23001,325.92999,325.92999,6029300,2019,7,30
325.16,331.76998,318.52999,322.98999,322.98999,6259500,2019,7,31
324.25,328.57998,318.73999,319.5,319.5,6563200,2019,8,1
317.48999,319.41,311.79998,318.82998,318.82998,6280300,2019,8,2
310.95999,313.42001,304.67999,307.63,307.63,8692500,2019,8,5
310.57998,311.88,305.29998,310.1,310.1,6179100,2019,8,6
302.55999,305.0,296.80999,304.29,304.29,9322400,2019,8,7
311.02999,316.35998,306.63,315.89999,315.89999,5905900,2019,8,8
313.73999,316.64001,305.67999,308.92999,308.92999,5349100,2019,8,9
305.45999,312.89001,303.23999,310.82998,310.82998,6531700,2019,8,12
309.76998,316.42999,308.16,312.27999,312.27999,5289400,2019,8,13
308.01001,308.41,298.01001,299.10998,299.10998,7355800,2019,8,14
299.5,300.63,288.0,295.76001,295.76001,9629200,2019,8,15
298.85998,303.54998,296.26998,302.79998,302.79998,6905800,2019,8,16
306.25,311.75,304.75,309.38,309.38,4942200,2019,8,19
304.57,305.0,297.67999,298.98999,298.98999,7349900,2019,8,20
301.60998,302.88,296.20001,297.80999,297.80999,5685400,2019,8,21
298.64999,300.32998,293.14999,296.92999,296.92999,4974200,2019,8,22
295.0,299.01001,290.32,291.44,291.44,6324900,2019,8,23
295.23999,296.95001,292.5,294.98001,294.98001,4695700,2019,8,26
294.54,296.76998,287.20001,291.02999,291.02999,6309400,2019,8,27
289.47,292.82,287.75,291.76998,291.76998,3955700,2019,8,28
295.0,299.92999,294.98999,296.77999,296.77999,4388500,2019,8,29
298.77999,298.94,290.85,293.75,293.75,4446400,2019,8,30
290.82,293.89999,288.05999,289.29,289.29,3682800,2019,9,3
291.25,292.38,286.51001,291.51998,291.51998,4652500,2019,9,4
285.32,293.97,282.79,293.25,293.25,8966800,2019,9,5
293.35,293.35,287.02999,290.17001,290.17001,5166600,2019,9,6
294.80999,301.54998,290.6,294.33999,294.33999,8232700,2019,9,9
291.16,297.17001,282.66,287.98999,287.98999,12320200,2019,9,10
285.70001,292.64999,284.60998,288.26998,288.26998,7405900,2019,9,11
288.1,292.73001,286.6,288.85998,288.85998,5010900,2019,9,12
290.60998,296.61999,290.04,294.14999,294.14999,6583100,2019,9,13
294.23001,297.42999,289.77999,294.29,294.29,5307400,2019,9,16
294.5,299.14999,291.79,298.6,298.6,4777100,2019,9,17
294.98999,296.04998,287.45001,291.55999,291.55999,7811100,2019,9,18
291.55999,293.80999,283.39999,286.6,286.6,8461300,2019,9,19
280.26001,282.5,266.0,270.75,270.75,23832800,2019,9,20
268.35,273.39001,261.89001,265.92001,265.92001,13478600,2019,9,23
262.5,265.0,252.27999,254.58999,254.58999,16338200,2019,9,24
255.71,266.6,253.69999,264.75,264.75,11643800,2019,9,25
266.42001,268.04998,260.20001,263.30999,263.30999,7684000,2019,9,26
266.17999,267.44,260.39001,263.07998,263.07998,7328300,2019,9,27
264.0,268.88,262.77999,267.61999,267.61999,6727200,2019,9,30
267.35,272.20001,264.02999,269.57998,269.57998,8650300,2019,10,1
263.60998,269.35,262.19,268.02999,268.02999,7659100,2019,10,2
267.77999,268.83999,257.01001,268.14999,268.14999,8951000,2019,10,3
268.20001,275.48001,266.47,272.79,272.79,9890400,2019,10,4
271.98999,276.67999,271.27999,274.45999,274.45999,6525600,2019,10,7
273.02999,275.52999,270.64001,270.72,270.72,6276400,2019,10,8
270.01998,271.0,264.57,267.52999,267.52999,6794400,2019,10,9
265.97,280.52999,265.02999,280.48001,280.48001,10809100,2019,10,10
284.79998,287.86999,282.33999,282.92999,282.92999,8786100,2019,10,11
283.92999,286.92999,282.0,285.52999,285.52999,5513200,2019,10,14
283.82,285.86999,279.39999,284.25,284.25,7685600,2019,10,15
283.11999,288.17001,280.73999,286.27999,286.27999,16175900,2019,10,16
304.48999,308.75,288.29998,293.35,293.35,38258900,2019,10,17
289.35998,290.89999,273.35998,275.29998,275.29998,23429900,2019,10,18
272.89001,279.94,269.0,278.04998,278.04998,12599200,2019,10,21
271.16,275.41,265.79998,266.69,266.69,11802400,2019,10,22
268.05999,273.92001,266.63,271.26998,271.26998,7133500,2019,10,23
271.80999,274.01998,268.79998,271.5,271.5,4827400,2019,10,24
270.67999,277.76998,270.17999,276.82,276.82,4747800,2019,10,25
278.04998,285.75,277.35,281.85998,281.85998,6248400,2019,10,28
281.86999,284.41,277.54998,281.20999,281.20999,4356200,2019,10,29
284.33999,293.48999,283.0,291.45001,291.45001,9345600,2019,10,30
291.0,291.45001,284.77999,287.41,287.41,5090000,2019,10,31
288.70001,289.11999,283.01998,286.80999,286.80999,5594300,2019,11,1
288.0,295.39001,287.16,292.85998,292.85998,5566200,2019,11,4
289.98999,291.19,286.30999,288.02999,288.02999,4062400,2019,11,5
288.19,290.55999,285.83999,288.58999,288.58999,3438300,2019,11,6
290.70001,298.19,288.26998,289.57,289.57,5928500,2019,11,7
288.73001,293.98999,287.51001,291.57,291.57,4509000,2019,11,8
289.16,296.35998,288.5,294.17999,294.17999,3944300,2019,11,11
295.32,295.35,288.70001,292.01001,292.01001,5772800,2019,11,12
291.02999,293.41,281.14001,283.10998,283.10998,9158900,2019,11,13
283.25,290.63,283.22,289.61999,289.61999,6529000,2019,11,14
290.58999,295.82,287.57,295.02999,295.02999,6333800,2019,11,15
296.0,304.98999,293.27999,302.57,302.57,8616600,2019,11,18
304.01001,305.67001,298.51998,302.6,302.6,5918000,2019,11,19
301.01001,308.25,301.0,305.16,305.16,5111800,2019,11,20
306.0,312.69,304.26001,311.69,311.69,7488400,2019,11,21
309.1,311.39999,304.41,310.48001,310.48001,5970100,2019,11,22
308.82998,315.73001,305.25,315.54998,315.54998,7873900,2019,11,25
315.0,316.5,311.69,312.48999,312.48999,5321000,2019,11,26
313.92999,316.82,312.75,315.92999,315.92999,4096900,2019,11,27
315.77999,316.61999,313.33999,314.66,314.66,2411700,2019,11,29
314.39001,314.39001,303.75,309.98999,309.98999,6218800,2019,12,2
302.22,307.35998,301.88,306.16,306.16,4992800,2019,12,3
308.42999,308.42999,303.26998,304.32,304.32,3512100,2019,12,4
305.26998,306.48001,298.80999,302.85998,302.85998,4615500,2019,12,5
304.70001,307.85,302.6,307.35,307.35,4457800,2019,12,6
307.35,311.48999,302.44,302.5,302.5,5748400,2019,12,9
296.11999,298.94,292.01998,293.11999,293.11999,10476100,2019,12,10
294.48999,299.42999,294.20001,298.92999,298.92999,5589800,2019,12,11
295.67001,299.17001,295.05999,298.44,298.44,4766600,2019,12,12
298.5,301.79998,297.25,298.5,298.5,3879700,2019,12,13
300.85,305.70999,298.63,304.20999,304.20999,4658900,2019,12,16
307.35998,316.79998,306.6,315.48001,315.48001,10427100,2019,12,17
316.26001,325.35998,315.6,320.79998,320.79998,11207400,2019,12,18
324.5,332.82998,324.17999,332.22,332.22,9822300,2019,12,19
335.0,338.0,330.6,336.89999,336.89999,9914900,2019,12,20
337.76001,337.95001,331.01998,333.1,333.1,5765300,2019,12,23
